reviewId,content,score,at
9618ec67-62d7-4628-8e3f-13c43501c097,Kenapa sering bug?? Saat masuk pasti muncul syarat² terus menerus sampai emosii🙏... Aplikasi nya tidak bisa digunakan...,1,2025-01-09 23:44:42
c5d26447-2c41-46d7-b73b-2f37a0c33651,"Kecewa, menu setor tunai, tarik tunai, tidak ada sedangkan menyetor dalam jumlah sedikit teller tidak mau menerima.",1,2025-01-09 22:57:33
acdf3955-8e1a-4413-9400-69aab5ff41b6,Aplikasi tidak bisa tarik dan setor tunai. Apa gunanya ada aplikasi banking. Kecewa. Mau login pun susah kali. Krna paswordnya mesti campuran dengan tanda baca. Terkadang buat lupa.,2,2025-01-09 22:53:41
d0bd9297-c636-41e5-a0c7-66ecfa7b0eee,"Verifikasi wajah mempersulit custumer.klo mau verifikasi,belajar sama aplikasi grab driver.verifikasi nya lebih gampang.",1,2025-01-09 22:33:56
c917e222-ace9-425f-8e92-f76d4cc1fd61,Baru mau dftr udh bug,1,2025-01-09 22:26:29
d50caa8f-e8be-45f6-a96c-896c8d9c4fe5,Ok,5,2025-01-09 21:07:41
10cfa2ec-8176-4b8d-8560-f7b6a1fda341,Best,5,2025-01-09 20:42:15
fee3fb78-9862-4191-bd9e-1a70e1544742,"Banyak fitur di BNI mobile yg tidak tersedia di wonder, : - aktivasi kartu luar begeri - menu tarik tunai di indomart/alfa - history transaksi tidak ada nilai setelah transaksi, - mencari lokasi menu lebih susah - tidak ada menu bantuan Masih tetap harus memakai BNI mobile, meski sudah ada wonder, terlalu banyak aplikasi jadinya,",3,2025-01-09 20:07:50
ce981b06-ebcf-417b-a55a-91693e81e38f,Cara masukin nomor rekening lama yang lebih dari 1 bagaimana? Aplikasi tidak user friendly,2,2025-01-09 19:27:33
4254ce8d-36af-4f81-bf2d-52b3cdf88128,Bad,1,2025-01-09 18:24:51
5031fcd8-de83-48c3-8472-5a10aa27b449,"setiap aku mau top up, e wallet nya selalu error trs tulisannya fitur sedang diperbaiki, gituu teruss",2,2025-01-09 18:21:51
75d9cc74-63c6-462f-9c97-69989dd30ca3,"Gak ada menu tari tunai(mobile tunai),gara2 mbanking keblok disuruh install yg ini,menunya gak lengkap.tolong di perbarui agar ada menu mobile tunai",2,2025-01-09 17:40:58
fe1c83a4-a8e5-451b-bd38-c04abd84684d,Sering verifikasi ulang data,1,2025-01-09 17:20:49
aa668100-af1a-4650-875c-cfaadbd1f893,"Prepikasi wajah untuk register sangat susah, suda mengikuti petunjuk tetap gak bisa.",1,2025-01-09 16:56:40
a78f07b7-58ff-4e78-a87d-cb7253e2ee90,"Nggk ngerti sama aplikasinya,jujur bikin bingung dan amat sangat bikin kepikiran ya ganti pin udah tapi setiap di pakek transaksi atmnya slalu salah pin pdhal nggk ada salah pencet,nggk suka bgt sama aplikasi ini bikin sesat,ampek 3x aku gnti pin di aplikasi pada akhirnya kecewa dan nggk bsa di pakek transaksi lho tarik tunai nggk bisa apa lgi setor tunai,emosi bgt sih jujur😭",1,2025-01-09 16:40:41
82702785-9ddc-42f1-bab8-fc6791a8eed5,Sangat membantu,5,2025-01-09 15:30:29
b3db3bd6-31c7-4b43-a50d-4b786b5ca7d5,tidak bisa verifikasi wajah,1,2025-01-09 15:14:25
22aa4580-3659-4f49-9735-b8a7f5e71f61,Jelek bgt mau topup ada aja kendalanya,1,2025-01-09 14:56:31
8bf27e7e-5f26-4a49-9565-f83b0b63590d,mantap,5,2025-01-09 14:41:20
8519bd87-dbab-4702-a7a8-8e56fbd04988,Aplikasi cacat. Sering error.,1,2025-01-09 14:01:30
1342376d-78df-400a-b129-9889f28cdd74,Wondr bni tidak ada fitur tarik tunai yah?? Padahal itu sangat membantu loh,2,2025-01-09 12:45:35
564a67f5-1434-46a3-ad4d-4b0aba271762,Oke semoga sukses,5,2025-01-09 11:19:03
b163fa7c-f923-4c9c-ad65-83ce2e3e75f5,Lebih praktis dalam memberi pelayanan dan cepat di mengerti,5,2025-01-09 11:04:15
6189d2a6-da7a-4d05-a3bc-3a3dba3bccb4,Verifikasi wajah menghambat saja. Orang tua sudah tua verifikasi wajah ulang2. Buat emosi saja,1,2025-01-09 10:57:35
8b114830-b09b-4466-ac4a-6e825eb7bfc3,Top up dana di batasi 1jt per hari kalau aplikasi satunya bisa lebih,1,2025-01-09 10:23:13
67760bbf-8ed4-4c65-8705-278278da4e84,Tolong perbaiki ferfiksi wajahnya eroor,3,2025-01-09 10:18:29
d1689fbf-eb26-45d7-af99-448aa774552c,Kenapa akun ku keluwar sendiri mau lokin kg GK bisa,3,2025-01-09 09:52:49
78487de5-1b4d-4c91-949d-492adfc2ca97,"Aku suka aplikasi ni, sangat bermanfaat sakali untuk belanja transferan dan lain2.....",5,2025-01-09 09:07:32
