reviewId,content,score,at
d0677525-eead-45c2-ab2a-4f1c2b1833f2,Knpa ngk bisa buat transaksi m bangking,3,1/9/2025 23:41
864e0642-ee21-43a7-bc39-f22da89f690d,Selama pakai BNI mbanking semua serba mudah,5,1/9/2025 20:38
56ad8fb6-6420-4641-9535-25c86f69738b,"Mantab, sangat membantu",5,1/9/2025 20:32
dde042fa-e3df-4b7d-be46-b5798052b24b,"Kenapa kalo mau tf kok ada ""VASNAP 303"" gagal membuat virtual account",4,1/9/2025 18:09
9617f6dd-80f9-45eb-bcb4-c7b78d7e6502,"Kenapa ga bisa beli token listrik, yaelah",1,1/9/2025 17:48
c09d26fd-924b-4d9f-9d5f-39b097423252,"Terima kasih BNI sudah sangat membantu dalam setiap transaksi. Memudahkan semua nya ada M-banking, dan sekarang upgrade ke Wondr, akan tetapi fitur Mobile Tunai tidak bisa digunakan😭",5,1/9/2025 17:21
7f839b50-4d8f-4fd9-9452-cb65df0d4cf0,Praktis dan cepat dalam memberi pelayanan,5,1/9/2025 11:01
e5c6af0e-ec28-4c03-be73-6194a0f71270,"masa waktu ambil uang dari atm uang saya gak keluar, padahal saldo sudah terpotong. katanya nanti saldo akan kembali tapi udah 3 hari saldo gak kembali-kembali, kit heart sayaa💔💔💔💔💔💔",4,1/9/2025 10:23
a944ffcf-5daa-4b75-b00d-062f804c6d10,"Ini gimana ya konsepnya masok otp salah terus , lah akun akun gue pas di masukin otp otp harus 6digit itu aja terus",1,1/9/2025 8:14
31336c6d-a69f-44a5-ad45-ea9ab9ded899,Saya ubah ulasan saya Setiap saya buka Menu pembayaran selalu koneksi terputus Bintang 1 pun tak layak,1,1/9/2025 8:08
f7daa23f-9d95-4f65-88ee-e537bbab223a,Aplikasi nya jelek beru pertama kali mau bukaa sudah gak bisa daftr.... Msih kalah sama BRI & BCA,1,1/9/2025 7:49
06de11ed-de40-4536-9985-05ff7f9f4bc1,Baik,5,1/9/2025 7:40
044e7bf2-c11e-4985-bba7-e322ebc12698,Good,5,1/9/2025 5:24
d6d76e32-31a4-4e73-baa4-a61edc1cf756,Saya ingin buat user id tapi status MBANK EROR.,4,1/9/2025 1:29
199a3ba0-c8f9-42b8-8c74-8d8231914c1e,"Sering banget diwaktu penting selalu aja ""Sedang meningkatkan layanan"" jelek banget pelayanan Aplikasinya",1,1/8/2025 23:48
d498ee8e-8cbc-4796-b638-c3c79a88f6c1,"Saldo minimum gak bisa 15k lagi, padahal lumayan top up game sisanya .. tapi makin gak jelas BNI banking nya, rasa mulai males kalo aktifitas transaksi menggunakan BNI mobile banking ini ..",1,1/8/2025 23:47
25ad8215-688d-4610-9317-77f9572cde76,"NYELESAIN QRIS SALDO NYANGKUT GK BISA , BUMN LOH INI , RATING SATU CUKUP UNTUK BNI DIPROSES CUMAN NYANDET DI SMS SURUH NUNGGU , PROSES UDAH 1 BULAN LEBIH",1,1/8/2025 19:28
66097e61-c181-4429-8242-74082650caea,Kemana kami harus mengadu jika transfer pulsa berhasil tapi belum masuk di kartu seluler?,1,1/8/2025 19:04
a14200f1-d8f0-4519-a0f9-1f7a39a912f5,"Minn, kok bni banking nya nggak bisa transfer",2,1/8/2025 18:38
9d8632d6-b656-43ea-92a8-11d2ece99163,"Tolong segera diperbaiki untuk layanan setor tunai tanpa atm, karena tidak bisa digunakan dan di wonder juga belum ada",3,1/8/2025 16:49
2e0c9e7d-e5fa-434e-81df-6977401b4014,Kenapa bingki saya selalu banyak pembaruan tolong agar dk rebat TKS,1,1/8/2025 15:06
17286ec2-7b37-4221-8bad-cefcbc31b713,Untuk pergantian no handphone lama yg terdaftar registrasi bgmna yah ? No lama sdh hilang,5,1/8/2025 14:34
a183bdb1-b5e4-46a7-afac-030fc3f9ac59,Kok gak bisa bikin user yaa?,3,1/8/2025 14:18
23f5d3fa-e8cf-4586-bad3-3965ae9f4f01,"Kak mohon penjelasannya dong pas mau transaksi ada pemberitahuan kode 53 TDK bisa melangsungkan transaksi hubungi pihak BNI 😩🤦🏻‍♀️pdahal jringan juga aman"" sja",1,1/8/2025 13:53
1d8e4041-d52a-477f-88a8-80177c0ab97a,transfer antarbank sering gangguan dan untuk pembayaran melalui qris sering tidak bisa dilakukan,1,1/8/2025 13:48
43fd8517-2d9c-4962-9a50-c0a328edbe60,"Tolong pihak Bank, bagaimana cara mengganti nomor HP yg sebelumnya? Saya sudah melakukan segala cara, ribet sekali! Masa gak boleh ganti nomor HP seumur hidup? Mau transaksi tanpa kartu debit, tapi malah nomor HP lama yg muncul. Dan gimana cara ganti nomornya?",2,1/8/2025 13:10
3ecec517-5868-43b4-86c2-af12ad76cb97,"Uang saya tiba tiba sekali berkurang, padahal tidak melakukan transaksi apapun",3,1/8/2025 12:30
580ff5be-1b69-4f8c-bf68-8b8324cc1e4c,"ini baru,joss,,,lancar jaya,",5,1/8/2025 10:58
649d1b5f-8002-45b6-99a7-6f1e2a6140dc,"Saya mau login gak bisa, malah minta verifikasi user id. Setelah ada wonder apa bni mobile sudah gak bisa digunkan?klo gak bisa hapus aja dari playstrore. Saya pilih bni mobile karna ukuran apknya lebih kecil dibanding wonder tapi fungsi sama.",2,1/8/2025 7:51
246d0f27-6400-47f3-b447-cc717983fe6f,sangat membantu,5,1/8/2025 7:32
d63333f7-220c-4945-b4a7-6fd395f97774,"Asli ya,chat WA cs live agent BNI nunggu 30 menit baru bales, sekali dia bales 2 menit aja kita belum respon langsung diakhiri,,",1,1/8/2025 7:12
064bf799-1cee-4a1c-80ec-935bf1fa3f10,kenapa susah log in yaa apalagi ketika awal bulan pas mau gajian,1,1/8/2025 5:49
e1fb6685-54d7-4580-a62f-5dfcd67a52cf,Knpa tidak ada masuk verifikasi OTP ke akun Gmail saya min? Tolong segera di bantu,3,1/8/2025 1:54
